Mean data for UKR  Province= 25: Volyn,  from 2016 to 2018<br>The data below were extracted from weekly files like: ../NPP_VH/4km/ts_L1_v1/ByWeek/VHP_L1_Mean_201601.txt<br><tt><pre>year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2016 01  0.232,266.98, 75.23, 38.45, 56.84
2016 02  0.210,265.79, 70.70, 43.02, 56.86
2016 03  0.197,265.54, 64.16, 46.76, 55.46
2016 04  0.194,266.18, 57.90, 48.70, 53.30
2016 05  0.200,267.51, 54.05, 47.34, 50.70
2016 06  0.205,268.47, 51.21, 47.51, 49.36
2016 07  0.207,268.95, 49.81, 49.48, 49.65
2016 08  0.202,268.42, 47.75, 56.46, 52.11
2016 09  0.195,266.98, 44.61, 67.36, 55.99
2016 10  0.181,264.22, 38.11, 80.13, 59.12
2016 11  0.296,277.28, 67.30, 40.11, 53.71
2016 12  0.331,279.90, 72.38, 36.28, 54.33
2016 13  0.358,282.04, 74.09, 34.79, 54.44
2016 14  0.383,283.88, 73.26, 33.82, 53.54
2016 15  0.418,285.99, 75.65, 30.77, 53.21
2016 16  0.454,287.24, 76.60, 36.55, 56.58
2016 17  0.489,288.51, 76.00, 45.77, 60.88
2016 18  0.518,289.75, 72.68, 50.77, 61.72
2016 19  0.545,290.90, 69.76, 52.13, 60.95
2016 20  0.573,292.07, 69.27, 48.67, 58.97
2016 21  0.594,292.55, 68.81, 49.00, 58.91
2016 22  0.616,293.01, 69.57, 47.91, 58.74
2016 23  0.635,293.80, 73.35, 38.24, 55.80
2016 24  0.645,294.40, 73.22, 29.80, 51.51
2016 25  0.650,294.73, 73.68, 25.61, 49.64
2016 26  0.646,294.52, 70.16, 27.77, 48.96
2016 27  0.642,294.59, 68.47, 27.67, 48.07
2016 28  0.638,294.97, 67.55, 25.01, 46.28
2016 29  0.632,295.01, 67.60, 27.00, 47.30
2016 30  0.626,295.15, 68.87, 29.39, 49.13
2016 31  0.621,295.50, 68.98, 23.73, 46.36
2016 32  0.613,295.61, 67.08, 20.15, 43.61
2016 33  0.604,295.61, 66.53, 17.49, 42.01
2016 34  0.591,295.29, 65.86, 13.52, 39.69
2016 35  0.578,294.71, 65.61,  9.91, 37.76
2016 36  0.556,294.10, 63.14,  8.24, 35.69
2016 37  0.526,292.48, 58.37, 11.60, 34.98
2016 38  0.495,290.18, 53.37, 21.64, 37.51
2016 39  0.453,286.97, 45.62, 45.77, 45.69
2016 40  0.412,283.62, 38.62, 71.33, 54.97
2016 41  0.368,280.60, 32.46, 87.51, 59.99
2016 42  0.321,277.44, 26.32, 92.78, 59.55
2016 43  0.268,274.51, 17.91, 93.52, 55.72
2016 44  0.231,272.47, 14.26, 89.95, 52.11
2016 45  0.203,270.47, 12.00, 84.21, 48.11
2016 46  0.193,269.35, 16.24, 75.25, 45.75
2016 47  0.191,268.55, 26.24, 68.65, 47.45
2016 48  0.191,268.05, 34.14, 64.19, 49.17
2016 49  0.188,267.75, 38.24, 57.52, 47.88
2016 50  0.182,266.87, 38.59, 53.22, 45.90
2016 51  0.178,266.08, 42.32, 52.07, 47.19
